condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,instructions.started,instructions.stopped,stimulitrain1.started,stimulitrain1.stopped,imagetrain1.started,imagetrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1TestAnswer.keys,train1TestAnswer.rt,train1TestAnswer.started,train1TestAnswer.stopped,notice.started,notice.stopped,stimulitrain2.started,stimulitrain2.stopped,imagetrain2.started,imagetrain2.stopped,stimulitest2.started,stimulitest2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,correct2.started,correct2.stopped,incorrect2.started,incorrect2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,,,wavaudio/pakito1.wav,pngimages/04_ladder.png,wavaudio/pakito1.wav,pngimages/22_egg.png,0,2,2,2,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,50.04274401942967,52.04213354596868,50.04855242866324,None,50.04855242866324,None,j,-0.6168689747573808,52.04213354596868,None,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,,,wavaudio/pakito1.wav,pngimages/05_megaphone.png,wavaudio/pakito1.wav,pngimages/02_pallet.png,0,2,2,2,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,52.07545524978778,None,52.06863749015611,None,52.06863749015611,None,j,-1.7495555867790245,54.0582449415233,None,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block4.xlsx,autoConditions/train1Block4Test.xlsx,wavaudio/pakito1.wav,pngimages/10_backpack.png,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,54.0915666453424,None,54.085923541279044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block4.xlsx,autoConditions/train1Block4Test.xlsx,wavaudio/pakito1.wav,pngimages/06_tent.png,,,,,0,3,3,3,0,1,1,1,,,,,,,,,,,,,,,,,,,54.59127092363197,54.59102579782484,54.59102579782484,54.59102579782484,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block4.xlsx,autoConditions/train1Block4Test.xlsx,wavaudio/pakito1.wav,pngimages/07_suitcase.png,,,,,0,3,3,3,0,2,2,2,,,,,,,,,,,,,,,,,,,55.090686050144726,55.09098162082955,55.09098162082955,55.09098162082955,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block4.xlsx,autoConditions/train1Block4Test.xlsx,wavaudio/pakito1.wav,pngimages/12_pie.png,,,,,0,3,3,3,0,3,3,3,,,,,,,,,,,,,,,,,,,55.623937901452884,56.12375794618856,55.62652448459994,55.62652448459994,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block4.xlsx,autoConditions/train1Block4Test.xlsx,wavaudio/pakito1.wav,pngimages/24_banana.png,,,,,0,3,3,3,0,4,4,4,,,,,,,,,,,,,,,,,,,56.19040135382675,None,56.18058582500089,56.18058582500089,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block4.xlsx,autoConditions/train1Block4Test.xlsx,wavaudio/pakito1.wav,pngimages/20_pizza.png,,,,,0,3,3,3,0,5,5,5,,,,,,,,,,,,,,,,,,,56.706862238678156,56.703407218446955,56.703407218446955,56.703407218446955,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block4.xlsx,autoConditions/train1Block4Test.xlsx,,,wavaudio/pakito1.wav,pngimages/10_backpack.png,wavaudio/pakito1.wav,pngimages/12_pie.png,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,57.240069837420016,59.24019156966824,57.2372981638764,None,57.2372981638764,None,j,0.8895850230474025,59.22351682273438,None,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block4.xlsx,autoConditions/train1Block4Test.xlsx,,,wavaudio/pakito1.wav,pngimages/06_tent.png,wavaudio/pakito1.wav,pngimages/24_banana.png,0,3,3,3,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,60.173223970626715,62.172848050657194,60.172518044593744,None,60.172518044593744,None,j,0.45177682221401483,62.172848050657194,None,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block4.xlsx,autoConditions/train1Block4Test.xlsx,,,wavaudio/pakito1.wav,pngimages/07_suitcase.png,wavaudio/pakito1.wav,pngimages/20_pizza.png,0,3,3,3,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,62.65590272899718,64.6553124183556,62.66298071766505,None,62.66298071766505,None,j,0.3849052799632773,64.6553124183556,None,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block4.xlsx,autoConditions/train1Block4Test.xlsx,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block5.xlsx,autoConditions/train1Block5Test.xlsx,wavaudio/pakito1.wav,pngimages/16_icecream.png,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,65.08855052563595,None,65.08028549677692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block5.xlsx,autoConditions/train1Block5Test.xlsx,wavaudio/pakito1.wav,pngimages/13_toast.png,,,,,0,4,4,4,0,1,1,1,,,,,,,,,,,,,,,,,,,65.58765784786665,66.08788394357543,65.58887433941709,65.58887433941709,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block5.xlsx,autoConditions/train1Block5Test.xlsx,wavaudio/pakito1.wav,pngimages/09_plane.png,,,,,0,4,4,4,0,2,2,2,,,,,,,,,,,,,,,,,,,66.12120564739453,None,66.11693089804612,66.11693089804612,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
