condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,instructions.started,instructions.stopped,stimulitrain1.started,stimulitrain1.stopped,imagetrain1.started,imagetrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1TestAnswer.keys,train1TestAnswer.started,train1TestAnswer.stopped,train1TestAnswer.rt,notice.started,notice.stopped,stimulitrain2.started,stimulitrain2.stopped,imagetrain2.started,imagetrain2.stopped,stimulitest2.started,stimulitest2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,correct2.started,correct2.stopped,incorrect2.started,incorrect2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
autoConditions/train1Block8.xlsx,autoConditions/train1Block8Test.xlsx,,,trainaudio/11_tokiko.wav,pngimages/11_compass.png,trainaudio/09_tipata.wav,pngimages/09_plane.png,-0.5,0.5,0,7,7,7,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,143.80615565911577,None,143.80798439534556,None,143.80798439534556,None,j,145.80862741514284,None,-0.7931919193215435,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block8.xlsx,autoConditions/train1Block8Test.xlsx,,,trainaudio/13_kopopi.wav,pngimages/13_toast.png,trainaudio/25_tapapi.wav,pngimages/25_apple.png,-0.5,0.5,0,7,7,7,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,145.85875679314196,None,145.8508956778678,None,145.8508956778678,None,j,147.82704844094405,None,-0.5082601424801396,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block8.xlsx,autoConditions/train1Block8Test.xlsx,,,trainaudio/10_tokiti.wav,pngimages/100_bicycle.png,trainaudio/22_kakoki.wav,pngimages/22_egg.png,0.5,-0.5,0,7,7,7,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,147.87717781894318,None,147.88367949295207,None,147.88367949295207,None,j,149.87854099826654,None,-1.4049544618901564,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block8.xlsx,autoConditions/train1Block8Test.xlsx,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block9.xlsx,autoConditions/train1Block9Test.xlsx,trainaudio/07_pitapi.wav,pngimages/07_suitcase.png,,,,,,,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,,,,149.9119605835993,None,149.9179086866643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block9.xlsx,autoConditions/train1Block9Test.xlsx,trainaudio/18_popata.wav,pngimages/18_donut.png,,,,,,,0,8,8,8,0,1,1,1,,,,,,,,,,,,,,,,,,,151.42921095844068,None,151.43283916839573,151.43283916839573,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block9.xlsx,autoConditions/train1Block9Test.xlsx,trainaudio/17_kotako.wav,pngimages/17_cracker.png,,,,,,,0,8,8,8,0,2,2,2,,,,,,,,,,,,,,,,,,,152.9470869466226,None,152.95121545089933,152.95121545089933,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block9.xlsx,autoConditions/train1Block9Test.xlsx,trainaudio/14_pokoto.wav,pngimages/14_coffee.png,,,,,,,0,8,8,8,0,3,3,3,,,,,,,,,,,,,,,,,,,154.46488704109507,None,154.46496825868962,154.46496825868962,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block9.xlsx,autoConditions/train1Block9Test.xlsx,trainaudio/21_papika.wav,pngimages/21_cheese.png,,,,,,,0,8,8,8,0,4,4,4,,,,,,,,,,,,,,,,,,,155.98279923925003,None,155.98337965618703,155.98337965618703,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block9.xlsx,autoConditions/train1Block9Test.xlsx,trainaudio/02_pitito.wav,pngimages/02_pallet.png,,,,,,,0,8,8,8,0,5,5,5,,,,,,,,,,,,,,,,,,,157.4840300010459,None,157.48419315363572,157.48419315363572,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
